Date,Open,High,Low,Close,Adj Close,Volume
2017-07-21,1190.000000,1190.000000,1170.199951,1179.250000,1164.989380,1912305
2017-07-24,1177.000000,1182.650024,1171.099976,1178.000000,1163.754517,1313657
2017-07-25,1178.000000,1179.949951,1165.500000,1170.849976,1156.690918,2182162
2017-07-26,1169.900024,1184.000000,1166.000000,1180.250000,1165.977295,1161591
2017-07-27,1180.800049,1194.900024,1173.000000,1182.050049,1167.755615,3881208
2017-07-28,1184.000000,1190.400024,1153.500000,1161.400024,1147.355225,3278658
2017-07-31,1193.699951,1207.500000,1180.099976,1193.949951,1179.511597,5000536
2017-08-01,1198.250000,1198.250000,1171.699951,1190.050049,1175.658813,2721660
2017-08-02,1191.000000,1191.849976,1172.500000,1176.800049,1162.569092,2154488
2017-08-03,1179.900024,1184.650024,1167.650024,1174.750000,1160.543823,1426006
2017-08-04,1174.000000,1181.949951,1169.699951,1175.849976,1161.630493,1082867
2017-08-07,1176.699951,1184.599976,1172.000000,1179.949951,1165.680908,1035670
2017-08-08,1180.000000,1186.000000,1164.000000,1171.199951,1157.036743,1531255
2017-08-09,1171.000000,1171.000000,1148.000000,1153.900024,1139.945923,1439328
2017-08-10,1151.000000,1166.900024,1140.000000,1157.699951,1143.699951,1713614
2017-08-11,1138.000000,1144.050049,1125.199951,1131.949951,1131.949951,2001103
2017-08-14,1143.250000,1153.000000,1119.000000,1146.900024,1146.900024,1866838
2017-08-16,1146.900024,1152.400024,1123.250000,1142.250000,1142.250000,2143899
2017-08-17,1145.000000,1157.000000,1131.050049,1134.000000,1134.000000,1508949
2017-08-18,1124.000000,1137.650024,1123.000000,1130.599976,1130.599976,1230709
2017-08-21,1133.449951,1140.000000,1124.599976,1127.099976,1127.099976,1651344
2017-08-22,1132.000000,1135.000000,1113.050049,1117.699951,1117.699951,1361351
2017-08-23,1120.000000,1128.849976,1114.400024,1124.150024,1124.150024,1710949
2017-08-24,1130.000000,1135.800049,1126.000000,1131.699951,1131.699951,1316100
2017-08-28,1131.699951,1155.000000,1128.800049,1138.900024,1138.900024,1884734
2017-08-29,1135.650024,1138.750000,1123.349976,1130.050049,1130.050049,1045267
2017-08-30,1140.000000,1145.900024,1133.000000,1139.650024,1139.650024,895791
2017-08-31,1144.000000,1145.000000,1130.500000,1136.300049,1136.300049,1926054
2017-09-01,1134.949951,1144.400024,1131.550049,1139.199951,1139.199951,976551
2017-09-04,1127.949951,1138.949951,1122.000000,1130.650024,1130.650024,1006945
2017-09-05,1131.150024,1139.000000,1122.300049,1126.650024,1126.650024,1110437
2017-09-06,1122.000000,1126.099976,1115.900024,1117.599976,1117.599976,891224
2017-09-07,1121.099976,1130.949951,1118.250000,1129.099976,1129.099976,1038623
2017-09-08,1137.500000,1182.000000,1134.050049,1172.400024,1172.400024,4947759
2017-09-11,1180.000000,1225.000000,1152.550049,1217.849976,1217.849976,4364705
2017-09-12,1219.500000,1234.000000,1219.500000,1230.250000,1230.250000,2451814
2017-09-13,1222.000000,1229.000000,1207.500000,1223.349976,1223.349976,2233311
2017-09-14,1223.550049,1234.000000,1211.500000,1214.199951,1214.199951,1440488
2017-09-15,1214.000000,1221.650024,1202.050049,1212.400024,1212.400024,1723247
2017-09-18,1218.550049,1246.000000,1218.550049,1237.949951,1237.949951,3005809
2017-09-19,1235.000000,1237.800049,1220.500000,1225.900024,1225.900024,900287
2017-09-20,1228.150024,1250.500000,1228.150024,1235.949951,1235.949951,2347635
2017-09-21,1236.900024,1240.000000,1208.750000,1228.050049,1228.050049,2216227
2017-09-22,1228.050049,1229.150024,1176.050049,1184.800049,1184.800049,2968531
2017-09-25,1187.000000,1187.000000,1145.000000,1165.199951,1165.199951,2720490
2017-09-26,1151.000000,1170.000000,1151.000000,1162.900024,1162.900024,1809036
2017-09-27,1172.900024,1172.900024,1131.500000,1137.199951,1137.199951,2317721
2017-09-28,1140.349976,1143.699951,1128.000000,1133.349976,1133.349976,3474398
2017-09-29,1139.949951,1154.050049,1131.050049,1142.050049,1142.050049,3193745
2017-10-03,1142.050049,1157.750000,1128.050049,1134.900024,1134.900024,1413186
2017-10-04,1135.000000,1143.849976,1133.349976,1138.300049,1138.300049,1155472
