Date,Open,High,Low,Close,Adj Close,Volume
2017-07-11,1677.550049,1690.800049,1667.099976,1680.400024,1680.400024,1102570
2017-07-12,1680.000000,1685.000000,1658.550049,1681.250000,1681.250000,1434723
2017-07-13,1688.000000,1693.300049,1679.650024,1683.550049,1683.550049,1120251
2017-07-14,1683.900024,1686.050049,1672.000000,1679.949951,1679.949951,610813
2017-07-17,1682.550049,1687.650024,1677.000000,1682.349976,1682.349976,599835
2017-07-18,1679.699951,1687.849976,1677.349976,1683.550049,1683.550049,580547
2017-07-19,1685.000000,1696.199951,1681.849976,1692.300049,1692.300049,996811
2017-07-20,1693.900024,1715.000000,1688.150024,1710.900024,1710.900024,924619
2017-07-21,1714.099976,1715.250000,1700.000000,1703.050049,1703.050049,968377
2017-07-24,1710.000000,1740.000000,1695.000000,1735.099976,1735.099976,4919544
2017-07-25,1759.000000,1759.000000,1733.050049,1739.650024,1739.650024,2790117
2017-07-26,1742.000000,1755.000000,1732.500000,1747.550049,1747.550049,973836
2017-07-27,1756.000000,1798.800049,1751.550049,1789.650024,1789.650024,4490428
2017-07-28,1772.000000,1786.500000,1761.099976,1778.500000,1778.500000,2313849
2017-07-31,1777.550049,1791.000000,1766.550049,1784.400024,1784.400024,1842285
2017-08-01,1781.849976,1809.150024,1772.199951,1797.199951,1797.199951,2129215
2017-08-02,1807.000000,1807.000000,1782.050049,1791.650024,1791.650024,1849479
2017-08-03,1788.000000,1792.000000,1774.400024,1779.949951,1779.949951,1064196
2017-08-04,1777.000000,1796.750000,1766.150024,1790.250000,1790.250000,886267
2017-08-07,1786.000000,1796.449951,1785.000000,1788.550049,1788.550049,479665
2017-08-08,1792.099976,1797.250000,1766.099976,1777.900024,1777.900024,1008843
2017-08-09,1771.000000,1777.050049,1758.349976,1764.449951,1764.449951,817514
2017-08-10,1760.000000,1766.000000,1752.849976,1760.449951,1760.449951,1947111
2017-08-11,1745.000000,1758.000000,1731.150024,1749.050049,1749.050049,1589959
2017-08-14,1753.000000,1774.949951,1748.000000,1757.199951,1757.199951,894271
2017-08-16,1757.199951,1789.800049,1748.550049,1781.250000,1781.250000,1106708
2017-08-17,1776.250000,1780.949951,1753.750000,1765.400024,1765.400024,1363717
2017-08-18,1760.000000,1761.000000,1743.000000,1752.150024,1752.150024,926866
2017-08-21,1754.000000,1759.000000,1738.199951,1743.199951,1743.199951,1002431
2017-08-22,1751.300049,1754.000000,1736.800049,1747.000000,1747.000000,1652389
2017-08-23,1750.000000,1777.949951,1750.000000,1772.449951,1772.449951,840131
2017-08-24,1774.900024,1774.949951,1759.150024,1762.500000,1762.500000,1969569
2017-08-28,1762.500000,1771.150024,1758.349976,1762.250000,1762.250000,376946
2017-08-29,1759.000000,1759.000000,1738.000000,1746.150024,1746.150024,1229649
2017-08-30,1751.949951,1770.000000,1750.050049,1768.550049,1768.550049,673580
2017-08-31,1772.000000,1779.849976,1756.400024,1776.449951,1776.449951,1825859
2017-09-01,1781.000000,1781.449951,1761.099976,1767.599976,1767.599976,573793
2017-09-04,1765.000000,1765.000000,1746.099976,1750.900024,1750.900024,910631
2017-09-05,1757.000000,1764.900024,1751.000000,1755.349976,1755.349976,920609
2017-09-06,1743.750000,1762.800049,1738.000000,1759.900024,1759.900024,1437908
2017-09-07,1760.099976,1776.750000,1760.099976,1766.550049,1766.550049,1736605
2017-09-08,1773.400024,1790.000000,1771.000000,1787.650024,1787.650024,2077916
2017-09-11,1793.000000,1829.000000,1790.199951,1823.349976,1823.349976,2869419
2017-09-12,1827.699951,1839.900024,1818.300049,1835.199951,1835.199951,1671920
2017-09-13,1835.000000,1849.000000,1824.000000,1841.849976,1841.849976,1248844
2017-09-14,1840.150024,1852.500000,1831.500000,1839.400024,1839.400024,2038504
2017-09-15,1836.000000,1851.800049,1833.449951,1848.949951,1848.949951,941833
2017-09-18,1853.550049,1864.449951,1852.500000,1860.449951,1860.449951,1021232
2017-09-19,1864.900024,1868.000000,1847.550049,1849.699951,1849.699951,1060367
2017-09-20,1848.000000,1861.449951,1845.250000,1848.849976,1848.849976,861532
2017-09-21,1848.000000,1848.500000,1830.699951,1839.099976,1839.099976,1928124
2017-09-22,1834.800049,1838.949951,1820.000000,1824.099976,1824.099976,2060881
2017-09-25,1822.449951,1822.449951,1792.599976,1799.750000,1799.750000,2537307
2017-09-26,1789.050049,1796.599976,1785.000000,1792.300049,1792.300049,2859683
2017-09-27,1796.000000,1805.599976,1770.000000,1776.500000,1776.500000,1834305
2017-09-28,1774.000000,1799.000000,1763.300049,1795.300049,1795.300049,6911616
2017-09-29,1800.099976,1822.000000,1796.250000,1805.699951,1805.699951,1553408
2017-10-03,1805.699951,1821.000000,1797.099976,1808.849976,1808.849976,1098606
2017-10-04,1807.900024,1811.900024,1793.349976,1797.000000,1797.000000,1656276
