Date,Open,High,Low,Close,Adj Close,Volume
2012-10-03,144.889999,145.429993,144.130005,145.089996,130.988846,121283100
2012-10-04,145.639999,146.339996,145.440002,146.130005,131.927765,124311600
2012-10-05,146.910004,147.160004,145.699997,146.139999,131.936798,124842100
2012-10-08,145.600006,146.119995,145.309998,145.639999,131.485367,78415400
2012-10-09,145.529999,145.649994,144.149994,144.199997,130.185349,148872900
2012-10-10,144.179993,144.320007,143.089996,143.279999,129.354752,124247500
2012-10-11,144.279999,144.490005,143.330002,143.360001,129.427002,123601500
2012-10-12,143.460007,143.949997,142.580002,142.889999,129.002640,124181900
2012-10-15,143.229996,144.229996,142.770004,144.080002,130.077026,107689100
2012-10-16,144.759995,145.639999,144.660004,145.539993,131.395096,108815500
2012-10-17,145.639999,146.320007,145.419998,146.199997,131.990982,128834100
2012-10-18,145.820007,146.520004,145.330002,145.820007,131.647919,148108500
2012-10-19,145.550003,145.559998,143.050003,143.389999,129.454056,185645200
2012-10-22,143.149994,143.669998,142.279999,143.410004,129.472137,125578600
2012-10-23,141.860001,142.059998,140.830002,141.419998,127.675522,192056300
2012-10-24,141.929993,142.100006,140.800003,141.020004,127.314400,120179400
2012-10-25,142.020004,142.279999,140.570007,141.429993,127.684525,134457400
2012-10-26,141.300003,141.839996,140.389999,141.350006,127.612312,146023500
2012-10-31,141.850006,142.029999,140.679993,141.350006,127.612312,103438500
2012-11-01,141.649994,143.009995,141.520004,142.830002,128.948517,100995600
2012-11-02,143.679993,143.720001,141.410004,141.559998,127.801941,137702200
2012-11-05,141.350006,142.169998,140.929993,141.850006,128.063751,98378500
2012-11-06,142.279999,143.520004,142.130005,142.960007,129.065872,107068100
2012-11-07,141.660004,141.679993,139.059998,139.720001,126.140778,264304500
2012-11-08,139.699997,140.410004,137.929993,138.039993,124.624039,181517300
2012-11-09,137.619995,139.440002,137.550003,138.160004,124.732384,201055300
2012-11-12,138.589996,138.809998,137.960007,138.270004,124.831680,97677500
2012-11-13,137.539993,139.250000,137.360001,137.789993,124.398338,123018300
2012-11-14,138.210007,138.429993,135.619995,135.929993,122.719101,191505000
2012-11-15,135.979996,136.490005,135.179993,135.699997,122.511452,178128400
2012-11-16,135.899994,136.639999,134.699997,136.369995,123.116325,239483900
2012-11-19,137.899994,139.149994,136.410004,139.130005,125.608109,151495800
2012-11-20,138.910004,139.419998,138.080002,139.190002,125.662270,119807400
2012-11-21,139.309998,139.570007,139.029999,139.449997,125.896980,81710800
2012-11-23,140.130005,141.399994,140.039993,141.350006,127.612312,65409200
2012-11-26,140.649994,141.360001,140.190002,141.050003,127.341492,100124400
2012-11-27,140.910004,141.389999,140.240005,140.330002,126.691475,128646200
2012-11-28,139.759995,141.539993,139.000000,141.460007,127.711670,177086500
2012-11-29,141.990005,142.509995,141.369995,142.119995,128.307480,151085900
2012-11-30,142.139999,142.419998,141.660004,142.149994,128.334595,136568300
2012-12-03,142.800003,142.919998,141.339996,141.449997,127.702637,124656300
2012-12-04,141.440002,141.869995,140.869995,141.250000,127.522049,127512200
2012-12-05,141.369995,142.160004,140.369995,141.500000,127.747765,147300500
2012-12-06,141.369995,142.039993,141.160004,141.979996,128.181091,103220600
2012-12-07,142.529999,142.690002,141.669998,142.410004,128.569290,108726400
2012-12-10,142.210007,142.809998,142.149994,142.470001,128.623474,98840700
2012-12-11,143.059998,144.110001,142.990005,143.440002,129.499207,152570400
2012-12-12,144.000000,144.550003,143.309998,143.509995,129.562393,145880100
2012-12-13,143.419998,143.830002,142.270004,142.630005,128.767944,135715000
2012-12-14,142.320007,142.580002,141.880005,142.100006,128.289444,137701700
2012-12-17,142.470001,143.850006,142.429993,143.770004,129.797150,143238200
2012-12-18,144.000000,145.500000,143.789993,145.369995,131.241653,177762800
2012-12-19,145.529999,145.580002,144.240005,144.289993,130.266586,150895400
